Downloaded from wid.world on 05-06-2019 at 11:53:01
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1962;Unnamed: 4
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1963;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1964;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1965;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1966;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1967;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1968;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1969;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1970;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1971;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1972;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1973;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1974;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1975;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1976;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1977;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1978;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1979;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1980;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1981;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1982;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1983;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1984;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1985;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1986;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1987;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1988;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1989;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1990;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1991;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1992;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1993;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1994;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1995;
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1996;0.3182413055
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1997;0.3285881845
Albania;"gdiinc_pall_992_j_AL
Post-tax national income
Total population | Gini coefficient | adults | equal split
";pall;1998;0.3348760322
